Tipo 1,Tipo 2,Tipo 3,Patogeno
124,103,126,109,114
124,103,126,109,114
124,103,126,109,114
124,103,126,109,114
124,103,126,109,114
124,102,126,110,114
124,102,126,110,114
124,102,126,110,114
124,102,126,110,114
123,102,126,111,114
123,102,126,111,114
123,102,126,111,114
123,102,126,111,114
123,102,126,111,114
123,103,125,111,114
123,103,125,111,114
123,103,125,111,114
123,103,125,111,114
123,103,125,111,114
123,103,125,111,114
123,103,125,111,114
123,103,125,111,114
123,103,125,111,114
123,103,125,111,114
123,103,125,111,114
123,103,125,111,114
123,103,125,111,114
123,103,125,111,114
123,103,125,111,114
123,103,125,111,114
123,103,125,111,114
123,103,125,111,114
123,103,125,111,114
123,103,125,111,114
123,103,125,111,114
123,103,125,111,114
123,103,125,111,114
123,103,125,111,114
123,104,125,110,114
123,103,125,111,114
123,103,125,111,114
123,103,125,111,114
123,103,125,111,114
123,103,125,111,114
123,103,125,111,114
123,103,125,111,114
123,103,125,111,114
123,103,125,111,114
123,103,125,111,114
123,103,125,111,114
123,103,125,111,114
123,103,125,111,114
123,103,125,111,114
123,103,125,111,114
123,103,125,111,114
123,103,125,111,114
123,104,124,111,114
123,104,124,111,114
123,104,124,111,114
123,104,124,111,114
123,104,124,111,114
123,104,124,111,114
123,104,124,111,114
123,104,124,111,114
123,104,124,111,114
123,104,124,111,114
123,104,124,111,114
123,104,124,111,114
123,104,124,111,114
123,104,124,111,114
123,104,124,111,114
123,104,124,111,114
123,104,124,111,114
123,104,124,111,114
123,104,124,111,114
123,104,124,111,114
123,104,124,111,114
123,104,124,111,114
123,104,124,111,114
123,104,124,111,114
123,104,124,111,114
123,104,124,111,114
123,104,124,111,114
124,104,123,111,114
124,104,123,111,114
124,104,123,111,114
124,104,123,111,114
124,104,123,111,114
124,104,123,111,114
124,104,123,111,114
124,104,124,110,114
124,104,124,110,114
124,104,124,110,114
124,104,124,110,114
124,104,124,110,114
124,104,124,110,114
124,104,124,110,114
124,104,124,110,114
124,104,124,110,114
124,104,124,110,114
124,104,124,110,114
124,104,124,110,114
124,104,124,110,114
124,104,124,110,114
124,104,124,110,114
124,104,124,110,114
124,104,124,110,114
124,104,124,110,114
124,104,124,110,114
124,104,124,110,114
124,104,124,110,114
124,104,124,110,114
124,104,124,110,114
125,104,124,109,114
124,105,124,109,114
124,105,124,109,114
124,105,124,109,114
124,106,124,108,114
124,106,124,108,114
124,106,124,108,114
124,106,124,108,114
124,107,123,108,114
124,107,123,108,114
124,107,123,108,114
124,107,123,108,114
124,107,123,108,114
124,106,124,108,114
124,106,124,108,114
124,106,124,108,114
124,106,124,108,114
124,106,124,108,114
124,106,124,108,114
124,106,124,108,114
124,106,124,108,114
124,106,124,108,114
124,106,124,108,114
124,106,124,108,114
124,106,124,108,114
123,106,124,109,114
123,106,124,109,114
123,106,124,109,114
123,106,124,109,114
123,106,124,109,114
123,106,124,109,114
123,106,124,109,114
123,106,124,109,114
123,106,124,109,114
122,106,124,110,114
121,107,124,110,114
121,107,124,110,114
121,107,124,110,114
121,107,124,110,114
121,107,124,110,114
121,107,124,110,114
121,107,124,110,114
120,108,124,110,114
120,108,124,110,114
120,108,124,110,114
120,108,124,110,114
120,108,124,110,114
120,108,124,110,114
120,108,124,110,114
120,108,124,110,114
120,108,124,110,114
120,108,124,110,114
120,108,124,110,114
120,108,124,110,114
120,108,125,109,114
120,108,125,109,114
120,108,125,109,114
120,108,125,109,114
120,108,125,109,114
120,108,125,109,114
120,108,125,109,114
120,108,125,109,114
120,108,125,109,114
120,108,125,109,114
120,108,125,109,114
120,108,125,109,114
120,108,125,109,114
120,108,125,109,114
120,108,125,109,114
120,108,125,109,114
120,108,125,109,114
120,108,125,109,114
120,108,125,109,114
120,107,125,110,114
119,107,126,110,114
119,107,126,110,114
119,107,126,110,114
119,107,126,110,114
119,107,126,110,114
119,107,126,110,114
119,107,126,110,114
119,107,126,110,114
119,107,126,110,114
119,107,126,110,114
119,107,126,110,114
120,107,126,109,114
120,107,126,109,114
120,107,126,109,114
120,107,126,109,114
120,107,126,109,114
120,107,126,109,114
119,107,126,110,114
119,107,126,110,114
119,107,126,110,114
119,107,126,110,114
119,107,126,110,114
119,107,126,110,114
119,107,126,110,114
119,107,126,110,114
119,107,126,110,114
119,107,126,110,114
119,107,126,110,114
119,107,126,110,114
119,107,126,110,114
119,107,126,110,114
119,107,126,110,114
119,107,126,110,114
119,107,126,110,114
119,107,126,110,114
119,107,126,110,114
119,107,126,110,114
119,107,126,110,114
119,107,126,110,114
119,107,126,110,114
119,107,126,110,114
119,107,126,110,114
119,107,125,111,114
119,107,125,111,114
119,107,125,111,114
119,107,125,111,114
119,107,125,111,114
119,107,125,111,114
119,107,125,111,114
119,107,125,111,114
119,107,125,111,114
119,107,125,111,114
119,107,125,111,114
119,107,125,111,114
119,107,125,111,114
119,107,125,111,114
119,107,125,111,114
119,107,125,111,114
120,106,125,111,114
120,107,124,111,114
120,107,124,111,114
120,107,124,111,114
120,107,124,111,114
120,107,124,111,114
120,107,124,111,114
120,107,124,111,114
120,107,124,111,114
120,107,124,111,114
120,107,124,111,114
120,107,124,111,114
120,107,124,111,114
120,107,124,111,114
120,107,124,111,114
120,107,124,111,114
120,107,124,111,114
120,107,124,111,114
120,107,124,111,114
120,107,124,111,114
120,107,124,111,114
120,107,124,111,114
120,107,124,111,114
120,107,124,111,114
120,107,124,111,114
120,107,124,111,114
120,107,124,111,114
120,107,124,111,114
120,107,124,111,114
120,107,124,111,114
120,107,124,111,114
120,107,124,111,114
120,107,124,111,114
120,107,124,111,114
120,108,124,110,114
120,108,124,110,114
120,108,124,110,114
121,108,123,110,114
121,108,122,111,114
121,108,122,111,114
121,108,122,111,114
121,108,122,111,114
121,108,122,111,114
121,108,122,111,114
121,108,122,111,114
121,108,122,111,114
121,108,122,111,114
121,108,122,111,114
121,108,122,111,114
122,108,122,110,114
122,108,122,110,114
122,108,122,110,114
123,107,122,110,114
123,107,122,110,114
123,107,122,110,114
122,108,122,110,114
122,109,122,109,114
122,109,122,109,114
123,108,122,109,114
123,108,122,109,114
123,108,122,109,114
123,108,121,110,114
123,108,121,110,114
123,108,121,110,114
123,108,121,110,114
123,108,121,110,114
123,108,121,110,114
123,108,121,110,114
123,108,121,110,114
123,108,121,110,114
123,108,121,110,114
123,108,121,110,114
123,108,121,110,114
123,108,121,110,114
123,108,121,110,114
123,108,121,110,114
123,108,121,110,114
123,108,121,110,114
123,108,121,110,114
123,108,121,110,114
123,108,121,110,114
123,108,121,110,114
123,108,121,110,114
123,108,121,110,114
123,108,121,110,114
123,108,121,110,114
123,108,121,110,114
123,108,121,110,114
123,108,121,110,114
123,108,121,110,114
123,108,121,110,114
123,108,121,110,114
123,108,121,110,114
123,108,121,110,114
123,108,121,110,114
123,108,121,110,114
123,108,121,110,114
123,108,121,110,114
123,108,121,110,114
123,108,121,110,114
123,109,121,109,114
123,110,121,108,114
123,110,121,108,114
123,110,121,108,114
123,110,121,108,114
123,110,121,108,114
123,110,121,108,114
123,110,121,108,114
123,110,121,108,114
123,110,121,108,114
122,110,122,108,114
122,110,121,109,114
122,110,121,109,114
122,110,121,109,114
122,110,121,109,114
122,110,121,109,114
122,110,121,109,114
122,110,121,109,114
122,110,121,109,114
123,109,121,109,114
123,109,121,109,114
123,109,121,109,114
123,109,121,109,114
123,109,121,109,114
